,advertiser,Gender,Sexuality,Queer,User
0,dunkin,Cis Male,Gay,1,0
7,huntingtonbank,Cis Male,Gay,1,0
16,turbotax,Cis Male,Gay,1,0
17,lego,Cis Male,Gay,1,0
18,animatecolumbus,Cis Male,Gay,1,0
19,appletv,Cis Male,Gay,1,0
30,americanspikedco,Cis Male,Gay,1,0
40,mazdausa,Cis Male,Gay,1,0
67,wearkizik,Cis Male,Gay,1,0
90,visualyou,Cis Male,Gay,1,0
94,kittenfy_co,Cis Male,Gay,1,0
323,turbotax,Cis Male,Bisexual,1,1
333,fableticsmen,Cis Male,Bisexual,1,1
341,converse,Cis Male,Bisexual,1,1
348,kittenfy_co,Cis Male,Bisexual,1,1
405,barkbox,Cis Male,Bisexual,1,2
419,visualyou,Cis Male,Bisexual,1,2
425,killcrew,Cis Male,Bisexual,1,2
441,appletv,Cis Male,Bisexual,1,2
483,animatecolumbus,Cis Male,Gay,1,3
488,americanspikedco,Cis Male,Gay,1,3
523,turbotax,Cis Male,Straight,0,4
528,mazdausa,Cis Male,Straight,0,4
541,fableticsmen,Cis Male,Straight,0,4
587,converse,Cis Female,Straight,0,5
616,treatmyocd,Cis Female,Straight,0,5
691,lego,Cis Female,Straight,0,6
899,huntingtonbank,Cis Female,Straight,0,7
903,turbotax,Cis Female,Straight,0,7
904,barkbox,Cis Female,Straight,0,7
905,killcrew,Cis Female,Straight,0,7
911,treatmyocd,Cis Female,Straight,0,7
912,appletv,Cis Female,Straight,0,7
926,wearkizik,Cis Female,Straight,0,7
973,huntingtonbank,Cis Female,Straight,0,8
980,challengersmovie,Cis Female,Straight,0,8
988,dunkin,Cis Female,Straight,0,8
1037,thetonyawards,Cis Female,Pansexual,1,9
1046,challengersmovie,Cis Female,Straight,0,10
1055,thetonyawards,Cis Female,Straight,0,10
